"id","von","bis"
"1","1946-12-16","1950-11-20"
"2","1950-12-11","1954-11-23"
"3","1954-12-13","1958-11-17"
"4","1958-12-04","1962-10-25"
"5","1962-12-07","1966-11-09"
"6","1966-12-02","1970-10-01"
"7","1970-12-03","1974-10-29" 
"8","1974-11-12","1978-09-20" 
"9","1978-10-30","1982-07-23"
"10","1982-10-22","1986-07-24" 
"11","1986-10-22","1990-07-29" 
"12","1990-10-24","1994-07-21"
"13","1994-10-20","1998-07-09"
"14","1998-09-28","2003-07-10"
"15","2003-10-06","2008-07-17" 
"16","2008-10-20","2013-07-18"
"17","2013-09-15","2018-07-31"